id,Label,Easting,Northing,Reflectance,Band,Wavelength,Date,Projection
107,22,401097.8240740741,4177126.123456791,116,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
108,21,400430.8364197531,4177096.697530865,110,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
109,20,399871.7438271605,4176880.9074074086,109,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
110,19,399332.26851851854,4176655.308641976,113,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
111,18,398939.9228395062,4176449.327160495,110,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
112,17,399508.8240740741,4176262.962962964,105,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
113,16,400273.89814814815,4176184.4938271614,107,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
114,15,401235.1450617284,4176233.5370370382,101,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
115,14,402088.4969135803,4176292.38888889,108,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
116,13,402686.8240740741,4176410.0925925937,117,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
117,12,403236.1080246914,4176410.0925925937,130,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
118,11,403294.9598765432,4175890.234567902,122,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
119,10,402755.48456790124,4175713.6790123465,113,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
120,9,402029.6450617284,4175595.975308643,114,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
121,8,401225.3364197531,4175645.0185185196,111,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
122,7,400528.9228395062,4175684.2530864207,111,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
123,6,400018.87345679017,4175811.7654321,107,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
124,5,399410.737654321,4175998.1296296306,104,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
125,4,401274.37962962966,4175262.4814814827,105,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
126,3,401980.60185185185,4175203.6296296306,118,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
127,2,402775.10185185185,4175252.672839507,127,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
128,1,403167.4475308642,4175448.8456790135,123,B3,0.5615,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
129,44,398469.1080246914,4177832.3456790135,101,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
130,43,399145.9043209877,4178332.586419754,116,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
131,42,399567.67592592596,4178675.88888889,109,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
132,41,400322.9413580247,4179048.6172839515,125,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
133,40,401274.37962962966,4179274.216049384,137,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
134,38,402323.9043209877,4179303.6419753097,158,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
135,37,403088.97839506174,4178734.7407407416,153,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
136,36,402500.4598765432,4178597.4197530877,143,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
137,35,401647.1080246914,4178558.185185186,134,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
138,34,400960.5030864198,4178489.524691359,124,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
139,33,399920.7870370371,4178224.6913580257,129,B7,2.2005,2015-10-26,"+proj=utm +zone=11 +datum=WGS84 +units=m +no_defs "
