system:index,B1_BCET,B2_BCET,B3_BCET,B4_BCET,B5_BCET,B6_BCET,B7_BCET,label,.geo
2_831,113.77489971871029,112.32138991462759,110.24214042586186,111.84304543523106,107.72482361353232,109.76118544286038,119.39858815760886,51G3SM,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.888,37.843]}"
2_832,106.05621174473825,106.1145217546727,105.93341864885855,103.10236229535758,96.03096318847574,109.19815578229299,114.27900946440087,ZIC92A,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.945,37.618]}"
2_833,106.36110990143217,103.68396953786285,101.14566611878342,102.65704996596114,97.85574322304359,95.60682636038376,98.14577253880844,OKMFLA,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.765,37.487]}"
2_834,118.78777793217441,118.59894622541802,120.07368022267624,123.05661004535335,120.22272992926688,116.16926945266403,118.92476214929167,EDECS5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.872,37.398]}"
2_835,114.41677829634452,110.18373542130465,111.64942263524819,117.64062934543028,114.34793599036695,112.14378767943697,116.23466175098343,Z97E48,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.117,37.353]}"
2_836,145.41126571893085,143.49482550137338,136.69966699002396,136.2022091003953,126.63609696018915,113.08049352111192,112.72688604055963,TG8II6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-118.015,37.862]}"
2_837,109.68985411931769,106.92494416567109,102.53990572471716,105.01501008953838,100.78335235536994,102.2352310135613,109.17491547450834,CN68GS,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.712,37.068]}"
2_838,114.59161543302127,111.0057022074472,111.81346325177432,115.01498869455699,112.68104940007842,114.70695014366362,121.35873626472653,03OTC6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.095,37.312]}"
2_839,108.94970582868388,109.58460162109981,112.9046992199053,109.39961726302482,103.87691374090613,96.24445364558642,93.2415292792598,2BMZ0E,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.447,37.915]}"
2_840,98.2000034167043,94.13524968437042,90.99514880461444,96.18439867953626,96.33489909352178,98.30000667981489,105.00955090653895,1VWV8E,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-117.086,37.14]}"
